date,indexvalue
1/1/1987,63.988
2/1/1987,64.446
3/1/1987,64.76
4/1/1987,65.153
5/1/1987,65.583
6/1/1987,66.087
7/1/1987,66.52
8/1/1987,66.948
9/1/1987,67.342
10/1/1987,67.754
11/1/1987,68.119
12/1/1987,68.522
1/1/1988,68.875
2/1/1988,69.279
3/1/1988,69.657
4/1/1988,69.987
5/1/1988,70.434
6/1/1988,70.896
7/1/1988,71.363
8/1/1988,71.807
9/1/1988,72.248
10/1/1988,72.646
11/1/1988,73.082
12/1/1988,73.472
1/1/1989,73.954
2/1/1989,74.388
3/1/1989,74.787
4/1/1989,75.09
5/1/1989,75.31
6/1/1989,75.483
7/1/1989,75.662
8/1/1989,75.839
9/1/1989,76.059
10/1/1989,76.289
11/1/1989,76.529
12/1/1989,76.705
1/1/1990,76.897
2/1/1990,77.052
3/1/1990,77.202
4/1/1990,77.279
5/1/1990,77.297
6/1/1990,77.255
7/1/1990,77.135
8/1/1990,77.002
9/1/1990,76.842
10/1/1990,76.695
11/1/1990,76.373
12/1/1990,76.178
1/1/1991,75.908
2/1/1991,75.731
3/1/1991,75.571
4/1/1991,75.558
5/1/1991,75.761
6/1/1991,75.989
7/1/1991,76.074
8/1/1991,76.1
9/1/1991,76.185
10/1/1991,76.07
11/1/1991,76.025
12/1/1991,76.044
1/1/1992,76.08
2/1/1992,76.15
3/1/1992,76.271
4/1/1992,76.34
5/1/1992,76.392
6/1/1992,76.329
7/1/1992,76.265
8/1/1992,76.23
9/1/1992,76.239
10/1/1992,76.379
11/1/1992,76.57
12/1/1992,76.676
1/1/1993,76.785
2/1/1993,76.838
3/1/1993,76.868
4/1/1993,76.935
5/1/1993,77.034
6/1/1993,77.241
7/1/1993,77.43
8/1/1993,77.612
9/1/1993,77.795
10/1/1993,77.947
11/1/1993,78.161
12/1/1993,78.332
1/1/1994,78.595
2/1/1994,78.731
3/1/1994,78.86
4/1/1994,78.993
5/1/1994,79.227
6/1/1994,79.431
7/1/1994,79.603
8/1/1994,79.789
9/1/1994,79.926
10/1/1994,80.071
11/1/1994,80.158
12/1/1994,80.303
1/1/1995,80.434
2/1/1995,80.539
3/1/1995,80.612
4/1/1995,80.676
5/1/1995,80.718
6/1/1995,80.8
7/1/1995,80.951
8/1/1995,81.125
9/1/1995,81.322
10/1/1995,81.498
11/1/1995,81.637
12/1/1995,81.755
1/1/1996,81.854
2/1/1996,81.975
3/1/1996,82.214
4/1/1996,82.44
5/1/1996,82.628
6/1/1996,82.773
7/1/1996,82.952
8/1/1996,83.111
9/1/1996,83.281
10/1/1996,83.401
11/1/1996,83.575
12/1/1996,83.744
1/1/1997,83.978
2/1/1997,84.202
3/1/1997,84.475
4/1/1997,84.649
5/1/1997,84.89
6/1/1997,85.109
7/1/1997,85.36
8/1/1997,85.601
9/1/1997,85.879
10/1/1997,86.174
11/1/1997,86.658
12/1/1997,87.118
1/1/1998,87.646
2/1/1998,88.035
3/1/1998,88.472
4/1/1998,88.907
5/1/1998,89.391
6/1/1998,89.871
7/1/1998,90.336
8/1/1998,90.812
9/1/1998,91.284
10/1/1998,91.741
11/1/1998,92.223
12/1/1998,92.732
1/1/1999,93.236
2/1/1999,93.698
3/1/1999,94.244
4/1/1999,94.813
5/1/1999,95.372
6/1/1999,96.003
7/1/1999,96.619
8/1/1999,97.246
9/1/1999,97.892
10/1/1999,98.554
11/1/1999,99.186
12/1/1999,99.872
1/1/2000,100.555
2/1/2000,101.341
3/1/2000,102.127
4/1/2000,102.922
5/1/2000,103.678
6/1/2000,104.424
7/1/2000,105.054
8/1/2000,105.768
9/1/2000,106.537
10/1/2000,107.382
11/1/2000,108.3
12/1/2000,109.134
1/1/2001,109.851
2/1/2001,110.504
3/1/2001,111.111
4/1/2001,111.653
5/1/2001,112.164
6/1/2001,112.798
7/1/2001,113.494
8/1/2001,114.17
9/1/2001,114.814
10/1/2001,115.31
11/1/2001,115.855
12/1/2001,116.449
1/1/2002,117.146
2/1/2002,117.848
3/1/2002,118.691
4/1/2002,119.615
5/1/2002,120.727
6/1/2002,121.815
7/1/2002,122.888
