Date,HHDebt
1/1/1999,4.54
4/1/1999,4.63
7/1/1999,4.82
10/1/1999,4.76
1/1/2000,5.06
4/1/2000,5.25
7/1/2000,5.34
10/1/2000,5.51
1/1/2001,5.76
4/1/2001,5.53
7/1/2001,5.89
10/1/2001,5.93
1/1/2002,6.26
4/1/2002,6.3
7/1/2002,6.69
10/1/2002,6.66
1/1/2003,7.2313
4/1/2003,7.3839
7/1/2003,7.5551
10/1/2003,8.0655
1/1/2004,8.2893
4/1/2004,8.46
7/1/2004,8.833
10/1/2004,9.0416
1/1/2005,9.2067
4/1/2005,9.4918
7/1/2005,9.7921
10/1/2005,10.0022
1/1/2006,10.3818
4/1/2006,10.7471
7/1/2006,11.1114
10/1/2006,11.3133
1/1/2007,11.4953
4/1/2007,11.8498
7/1/2007,12.1325004
10/1/2007,12.3716
1/1/2008,12.5365
4/1/2008,12.5991
7/1/2008,12.6754
10/1/2008,12.6699
1/1/2009,12.5296
4/1/2009,12.4072
7/1/2009,12.279
10/1/2009,12.1661
1/1/2010,12.1169
4/1/2010,11.943
7/1/2010,11.8444
10/1/2010,11.7132
1/1/2011,11.7544
4/1/2011,11.7295
7/1/2011,11.6612
10/1/2011,11.5368
1/1/2012,11.43625613
4/1/2012,11.384
7/1/2012,11.31
10/1/2012,11.341
1/1/2013,11.231
4/1/2013,11.153
7/1/2013,11.28
10/1/2013,11.521
1/1/2014,11.65
4/1/2014,11.632
7/1/2014,11.71
10/1/2014,11.827
1/1/2015,11.851
4/1/2015,11.853
7/1/2015,12.065
10/1/2015,12.116
1/1/2016,12.252
4/1/2016,12.287
7/1/2016,12.35
10/1/2016,12.576
1/1/2017,12.725
4/1/2017,12.839
7/1/2017,12.955
10/1/2017,13.148
1/1/2018,13.211
4/1/2018,13.293
7/1/2018,13.512
10/1/2018,13.544
1/1/2019,13.668
4/1/2019,13.86
7/1/2019,13.952
10/1/2019,14.145
