Date,householdDebt,caseShillerIndex,cpi,fed10YearYield,fed30YearYield,fed3MonthYield,ppi,consumerRent,unemploymentRate,german10Yr
1/1/1999,4.54,94.244,164.8,5.23,5.58,4.57,122.6,193.3,4.2,4.04
4/1/1999,4.63,96.003,166,5.9,6.04,4.72,125.2,194.8,4.3,4.36
7/1/1999,4.82,97.892,167.8,5.92,6.07,4.82,128,196.2,4.2,5.04
10/1/1999,4.76,99.872,168.8,6.28,6.35,5.36,127.8,197.4,4,5.15
1/1/2000,5.06,102.127,171,6.26,6.05,5.86,130.8,199.5,4,5.33
4/1/2000,5.25,104.424,172.2,6.1,5.93,5.86,133.8,201,4,5.19
7/1/2000,5.34,106.537,173.6,5.8,5.83,6.18,134.7,202.7,3.9,5.26
10/1/2000,5.51,109.134,174.6,5.24,5.49,5.94,136.2,204.3,3.9,4.89
1/1/2001,5.76,111.111,176.1,4.89,5.34,4.54,135.9,206.6,4.3,4.67
4/1/2001,5.53,112.798,177.7,5.28,5.67,3.57,135.5,208.7,4.5,5
7/1/2001,5.89,114.814,178.1,4.73,5.48,2.69,133.3,210.4,5,4.81
10/1/2001,5.93,116.449,177.4,5.09,5.48,1.72,128.1,213,5.7,4.74
1/1/2002,6.26,118.691,178.5,5.28,3.705,1.83,129.8,214.9,5.7,5.16
4/1/2002,6.3,121.815,179.6,4.93,3.705,1.73,130.9,216.5,5.8,5.02
7/1/2002,6.69,124.779,180.8,3.87,3.705,1.66,132.3,218.1,5.7,4.38
10/1/2002,6.66,127.619,181.8,4.03,3.705,1.21,132.9,219.6,6,4.33
1/1/2003,7.2313,130.151,183.9,3.81,3.705,1.15,141.2,220.2,5.9,4
4/1/2003,7.3839,132.651,183.1,3.33,3.705,0.94,138,221.3,6.3,3.62
7/1/2003,7.5551,136.295,185.1,4.27,3.705,0.96,138.5,222.8,6.1,4.17
10/1/2003,8.0655,140.181,185.5,4.27,3.705,0.91,139.5,224.4,5.7,4.29
1/1/2004,8.2893,145.063,187.1,3.83,3.705,0.95,143.1,226.1,5.8,3.91
4/1/2004,8.46,149.85,188.9,4.73,3.705,1.29,147.2,227.9,5.6,4.31
7/1/2004,8.833,154.18,189.8,4.13,3.705,1.68,147.7,229.5,5.4,4.02
10/1/2004,9.0416,159.332,191.7,4.23,3.705,2.22,150.2,230.4,5.4,3.58
1/1/2005,9.2067,165.82,193.1,4.5,3.705,2.8,153.7,233,5.2,3.7
4/1/2005,9.4918,171.191,193.7,4,3.705,3.04,154.3,233.4,5,3.13
7/1/2005,9.7921,176.438,198.8,4.2,3.705,3.49,162.2,234,5,3.07
10/1/2005,10.0022,180.913,198.1,4.47,3.705,3.97,163,236.6,4.9,3.34
1/1/2006,10.3818,184.37,199.7,4.72,4.73,4.63,162.2,238.9,4.7,3.64
4/1/2006,10.7471,183.512,201.8,5.11,5.15,4.92,166.1,241.5,4.6,3.96
7/1/2006,11.1114,182.806,202.8,4.72,4.85,4.93,165.4,244,4.5,3.75
10/1/2006,11.3133,184.143,203.1,4.56,4.68,4.97,165.6,246.5,4.4,3.77
1/1/2007,11.4953,184.153,205.288,4.56,4.72,5.08,169.3,248.452,4.4,3.94
4/1/2007,11.8498,180.26,207.234,5.1,5.2,4.74,173.8,250.677,4.6,4.56
7/1/2007,12.1325004,177.566,208.547,4.52,4.79,3.99,173.5,252.428,4.7,4.22
10/1/2007,12.3716,174.347,211.445,4.1,4.53,3.07,178.6,254.077,5,4.21
1/1/2008,12.5365,170.057,213.448,3.51,4.39,1.28,187.9,256.03,5.1,3.8
4/1/2008,12.5991,165.025,217.463,4.1,4.69,1.89,200.5,257.023,5.6,4.52
7/1/2008,12.6754,160.318,218.877,3.69,4.27,1.15,196.9,258.309,6.1,4.09
10/1/2008,12.6699,153.623,211.398,2.42,2.87,0.03,170.9,258.767,7.3,3.05
1/1/2009,12.5296,148.666,212.495,2.82,3.64,0.22,168.1,259.901,8.7,3.02
4/1/2009,12.4072,148.095,214.79,3.72,4.52,0.18,174.1,260.384,9.5,3.47
7/1/2009,12.279,148.024,215.861,3.4,4.19,0.12,174.1,260.065,9.8,3.26
10/1/2009,12.1661,147.935,217.347,3.59,4.49,0.05,178.1,259.08,9.9,3.14
1/1/2010,12.1169,145.857,217.353,3.73,4.64,0.15,183.3,258.327,9.9,3.1
4/1/2010,11.943,145.714,217.199,3.2,4.13,0.12,183.5,258.538,9.4,2.54
7/1/2010,11.8444,143.011,218.275,2.65,3.77,0.15,184.9,258.927,9.5,2.3
