,householdDebt,householdDebtTril,caseShillerIndex,cpi,fed10YearYield,fed30YearYield,fed3MonthYield,ppi,gdp,consumerRent,unemploymentRate,medianHomePrice,german10Yr
1,4.54,4.54E+12,94.244,164.8,5.23,5.58,4.57,122.6,9417.264,193.3,4.2,157400,4.04
2,4.63,4.63E+12,96.003,166,5.9,6.04,4.72,125.2,9524.152,194.8,4.3,158700,4.36
3,4.82,4.82E+12,97.892,167.8,5.92,6.07,4.82,128,9681.856,196.2,4.2,159100,5.04
4,4.76,4.76E+12,99.872,168.8,6.28,6.35,5.36,127.8,9899.378,197.4,4,165300,5.15
5,5.06,5.06E+12,102.127,171,6.26,6.05,5.86,130.8,10002.857,199.5,4,165300,5.33
6,5.25,5.25E+12,104.424,172.2,6.1,5.93,5.86,133.8,10247.679,201,4,163200,5.19
7,5.34,5.34E+12,106.537,173.6,5.8,5.83,6.18,134.7,10319.825,202.7,3.9,168800,5.26
8,5.51,5.51E+12,109.134,174.6,5.24,5.49,5.94,136.2,10439.025,204.3,3.9,172900,4.89
9,5.76,5.76E+12,111.111,176.1,4.89,5.34,4.54,135.9,10472.879,206.6,4.3,169800,4.67
10,5.53,5.53E+12,112.798,177.7,5.28,5.67,3.57,135.5,10597.822,208.7,4.5,179000,5
11,5.89,5.89E+12,114.814,178.1,4.73,5.48,2.69,133.3,10596.294,210.4,5,172500,4.81
12,5.93,5.93E+12,116.449,177.4,5.09,5.48,1.72,128.1,10660.294,213,5.7,171100,4.74
13,6.26,6.26E+12,118.691,178.5,5.28,,1.83,129.8,10788.952,214.9,5.7,188700,5.16
14,6.3,6.3E+12,121.815,179.6,4.93,,1.73,130.9,10893.207,216.5,5.8,187200,5.02
15,6.69,6.69E+12,124.779,180.8,3.87,,1.66,132.3,10992.051,218.1,5.7,178100,4.38
16,6.66,6.66E+12,127.619,181.8,4.03,,1.21,132.9,11071.463,219.6,6,190100,4.33
17,7.2313,7.2313E+12,130.151,183.9,3.81,,1.15,141.2,11183.507,220.2,5.9,186000,4
18,7.3839,7.3839E+12,132.651,183.1,3.33,,0.94,138,11312.875,221.3,6.3,191800,3.62
19,7.5551,7.5551E+12,136.295,185.1,4.27,,0.96,138.5,11567.326,222.8,6.1,191900,4.17
20,8.0655,8.0655E+12,140.181,185.5,4.27,,0.91,139.5,11769.275,224.4,5.7,198800,4.29
21,8.2893,8.2893E+12,145.063,187.1,3.83,,0.95,143.1,11920.169,226.1,5.8,212700,3.91
22,8.46,8.46E+12,149.85,188.9,4.73,,1.29,147.2,12108.987,227.9,5.6,217600,4.31
23,8.833,8.833E+12,154.18,189.8,4.13,,1.68,147.7,12303.34,229.5,5.4,213500,4.02
24,9.0416,9.0416E+12,159.332,191.7,4.23,,2.22,150.2,12522.425,230.4,5.4,228800,3.58
25,9.2067,9.2067E+12,165.82,193.1,4.5,,2.8,153.7,12761.337,233,5.2,232500,3.7
26,9.4918,9.4918E+12,171.191,193.7,4,,3.04,154.3,12910.022,233.4,5,233700,3.13
27,9.7921,9.7921E+12,176.438,198.8,4.2,,3.49,162.2,13142.873,234,5,236400,3.07
28,10.0022,1.00022E+13,180.913,198.1,4.47,,3.97,163,13332.316,236.6,4.9,243600,3.34
29,10.3818,1.03818E+13,184.37,199.7,4.72,4.73,4.63,162.2,13603.933,238.9,4.7,247700,3.64
30,10.7471,1.07471E+13,183.512,201.8,5.11,5.15,4.92,166.1,13749.806,241.5,4.6,246300,3.96
31,11.1114,1.11114E+13,182.806,202.8,4.72,4.85,4.93,165.4,13867.469,244,4.5,235600,3.75
32,11.3133,1.13133E+13,184.143,203.1,4.56,4.68,4.97,165.6,14037.228,246.5,4.4,245400,3.77
33,11.4953,1.14953E+13,184.153,205.288,4.56,4.72,5.08,169.3,14208.569,248.452,4.4,257400,3.94
