date,loanamt
2015-01-07,357.3675
2015-01-14,358.0277
2015-01-21,358.5512
2015-01-28,358.9206
2015-02-04,359.5011
2015-02-11,359.9323
2015-02-18,360.2903
2015-02-25,360.6458
2015-03-04,360.6795
2015-03-11,361.148
2015-03-18,361.9176
2015-03-25,362.1496
2015-04-01,363.1274
2015-04-08,363.5413
2015-04-15,363.9845
2015-04-22,364.3107
2015-04-29,365.3487
2015-05-06,365.6846
2015-05-13,366.4064
2015-05-20,366.7521
2015-05-27,367.5558
2015-06-03,368.3005
2015-06-10,368.333
2015-06-17,368.7201
2015-06-24,369.4339
2015-07-01,369.9693
2015-07-08,370.6035
2015-07-15,371.1258
2015-07-22,371.0896
2015-07-29,371.5978
2015-08-05,371.693
2015-08-12,372.5182
2015-08-19,372.7947
2015-08-26,373.0489
2015-09-02,374.0101
2015-09-09,374.4458
2015-09-16,374.9249
2015-09-23,376.2041
2015-09-30,377.4035
2015-10-07,377.56
2015-10-14,378.3127
2015-10-21,379.1561
2015-10-28,379.8701
2015-11-04,380.5404
2015-11-11,380.8493
2015-11-18,381.8495
2015-11-25,382.2498
2015-12-02,383.2772
2015-12-09,384.02
2015-12-16,384.3278
2015-12-23,385.0966
2015-12-30,385.7166
2016-01-06,386.1324
2016-01-13,386.6156
2016-01-20,387.0031
2016-01-27,387.5582
2016-02-03,388.2224
2016-02-10,388.9661
2016-02-17,389.6275
2016-02-24,390.3125
2016-03-02,390.9947
2016-03-09,392.3284
2016-03-16,392.1913
2016-03-23,393.0393
2016-03-30,393.7966
2016-04-06,394.0504
2016-04-13,394.763
2016-04-20,395.2944
2016-04-27,396.1195
2016-05-04,396.7144
2016-05-11,397.5413
2016-05-18,397.9175
2016-05-25,398.5485
2016-06-01,398.8091
2016-06-08,399.5615
2016-06-15,400.2606
2016-06-22,400.7277
2016-06-29,401.2149
2016-07-06,401.5336
2016-07-13,401.8431
2016-07-20,402.9245
2016-07-27,403.5476
2016-08-03,404.1418
2016-08-10,404.823
2016-08-17,405.1073
2016-08-24,405.5208
2016-08-31,406.3327
2016-09-07,404.5593
2016-09-14,405.0661
2016-09-21,405.5289
2016-09-28,405.5796
2016-10-05,406.3657
2016-10-12,406.8046
2016-10-19,407.3547
2016-10-26,407.8707
2016-11-02,408.6561
2016-11-09,409.0787
2016-11-16,409.4445
2016-11-23,409.7463
2016-11-30,409.4431
2016-12-07,409.5027
2016-12-14,409.2693
2016-12-21,409.9311
2016-12-28,410.3832
2017-01-04,411.1519
2017-01-11,411.2082
2017-01-18,411.3779
2017-01-25,411.4073
2017-02-01,411.2141
2017-02-08,411.5726
2017-02-15,411.8093
2017-02-22,411.6746
2017-03-01,411.8875
2017-03-08,412.2769
2017-03-15,412.6151
2017-03-22,412.6814
2017-03-29,412.4295
2017-04-05,411.7449
2017-04-12,411.8665
2017-04-19,411.9057
2017-04-26,411.9524
2017-05-03,411.8397
2017-05-10,412.0899
2017-05-17,412.1332
2017-05-24,412.7873
2017-05-31,411.614
2017-06-07,412.4503
2017-06-14,412.8665
2017-06-21,412.8683
2017-06-28,413.6734
2017-07-05,413.8457
2017-07-12,414.3527
2017-07-19,414.4502
2017-07-26,414.6312
2017-08-02,414.894
2017-08-09,415.413
2017-08-16,415.699
2017-08-23,415.934
2017-08-30,415.9985
2017-09-06,416.3384
2017-09-13,416.4594
2017-09-20,416.694
2017-09-27,417.6609
2017-10-04,417.7514
2017-10-11,418.3354
2017-10-18,418.7001
2017-10-25,418.7236
2017-11-01,418.3063
2017-11-08,418.6821
2017-11-15,419.0028
2017-11-22,418.9668
2017-11-29,419.5378
