date,rent
1990-01-01,141.700
1990-02-01,142.000
1990-03-01,143.100
1990-04-01,143.700
1990-05-01,144.100
1990-06-01,145.200
1990-07-01,146.200
1990-08-01,147.600
1990-09-01,147.800
1990-10-01,148.100
1990-11-01,148.400
1990-12-01,148.900
1991-01-01,149.900
1991-02-01,150.300
1991-03-01,150.700
1991-04-01,151.100
1991-05-01,151.400
1991-06-01,151.800
1991-07-01,152.200
1991-08-01,152.600
1991-09-01,153.100
1991-10-01,153.600
1991-11-01,154.200
1991-12-01,154.800
1992-01-01,155.200
1992-02-01,155.600
1992-03-01,156.100
1992-04-01,156.300
1992-05-01,156.600
1992-06-01,157.300
1992-07-01,157.500
1992-08-01,157.900
1992-09-01,157.900
1992-10-01,158.700
1992-11-01,159.100
1992-12-01,159.400
1993-01-01,159.900
1993-02-01,160.300
1993-03-01,160.500
1993-04-01,161.200
1993-05-01,161.600
1993-06-01,162.100
1993-07-01,162.200
1993-08-01,162.500
1993-09-01,162.900
1993-10-01,163.200
1993-11-01,163.600
1993-12-01,164.300
1994-01-01,164.600
1994-02-01,165.300
1994-03-01,165.700
1994-04-01,166.000
1994-05-01,166.300
1994-06-01,166.600
1994-07-01,166.900
1994-08-01,167.700
1994-09-01,168.200
1994-10-01,168.700
1994-11-01,169.100
1994-12-01,169.200
1995-01-01,169.600
1995-02-01,170.100
1995-03-01,170.600
1995-04-01,171.200
1995-05-01,171.800
1995-06-01,172.200
1995-07-01,172.800
1995-08-01,173.100
1995-09-01,173.600
1995-10-01,174.200
1995-11-01,174.600
1995-12-01,175.100
1996-01-01,175.700
1996-02-01,176.000
1996-03-01,176.400
1996-04-01,176.800
1996-05-01,177.200
1996-06-01,177.600
1996-07-01,178.500
1996-08-01,178.700
1996-09-01,179.000
1996-10-01,179.400
1996-11-01,179.900
1996-12-01,180.300
1997-01-01,180.900
1997-02-01,181.400
1997-03-01,181.800
1997-04-01,182.200
1997-05-01,182.600
1997-06-01,183.100
1997-07-01,183.600
1997-08-01,184.100
1997-09-01,184.400
1997-10-01,185.000
1997-11-01,185.500
1997-12-01,186.300
1998-01-01,186.700
1998-02-01,187.300
1998-03-01,187.600
1998-04-01,188.200
1998-05-01,188.800
1998-06-01,189.200
1998-07-01,189.600
1998-08-01,190.200
1998-09-01,191.000
1998-10-01,191.600
1998-11-01,192.100
1998-12-01,192.600
1999-01-01,192.600
1999-02-01,192.900
1999-03-01,193.300
1999-04-01,194.000
1999-05-01,194.300
1999-06-01,194.800
1999-07-01,195.200
1999-08-01,195.500
1999-09-01,196.200
1999-10-01,196.400
1999-11-01,196.900
1999-12-01,197.400
2000-01-01,198.400
2000-02-01,198.800
2000-03-01,199.500
2000-04-01,199.900
2000-05-01,200.400
2000-06-01,201.000
2000-07-01,201.600
2000-08-01,202.100
2000-09-01,202.700
2000-10-01,203.300
2000-11-01,203.900
2000-12-01,204.300
2001-01-01,205.000
2001-02-01,205.600
2001-03-01,206.600
2001-04-01,207.000
2001-05-01,207.800
2001-06-01,208.700
2001-07-01,209.200
2001-08-01,210.100
2001-09-01,210.400
2001-10-01,210.900
2001-11-01,212.100
2001-12-01,213.000
2002-01-01,213.500
2002-02-01,214.600
2002-03-01,214.900
2002-04-01,215.600
2002-05-01,216.000
2002-06-01,216.500
2002-07-01,216.800
2002-08-01,217.600
2002-09-01,218.100
2002-10-01,218.500
2002-11-01,219.100
2002-12-01,219.600
2003-01-01,220.200
2003-02-01,220.200
2003-03-01,220.200
2003-04-01,220.200
2003-05-01,221.400
2003-06-01,221.300
2003-07-01,221.900
2003-08-01,222.400
2003-09-01,222.800
2003-10-01,223.500
2003-11-01,223.900
2003-12-01,224.400
2004-01-01,224.900
2004-02-01,224.800
2004-03-01,226.100
2004-04-01,226.800
2004-05-01,227.500
2004-06-01,227.900
2004-07-01,228.400
2004-08-01,228.700
2004-09-01,229.500
2004-10-01,229.900
2004-11-01,230.000
2004-12-01,230.400
2005-01-01,230.900
2005-02-01,231.700
2005-03-01,233.000
2005-04-01,233.000
2005-05-01,232.900
2005-06-01,233.400
2005-07-01,234.000
2005-08-01,234.300
2005-09-01,234.000
2005-10-01,235.200
2005-11-01,235.900
2005-12-01,236.600
2006-01-01,237.100
2006-02-01,237.900
2006-03-01,238.900
2006-04-01,239.700
2006-05-01,240.700
