date,debt
2005-03-01,88.424
2005-06-01,89.98
2005-09-01,91.048
2005-12-01,91.958
2006-03-01,92.749
2006-06-01,94.261
2006-09-01,95.844
2006-12-01,96.617
2007-03-01,96.681
2007-06-01,97.623
2007-09-01,98.314
2007-12-01,98.792
2008-03-01,99.837
2008-06-01,98.346
2008-09-01,99.122
2008-12-01,98.909
2009-03-01,99.336
2009-06-01,99.48
2009-09-01,99.049
2009-12-01,97.612
2010-03-01,96.08
2010-06-01,94.353
2010-09-01,92.983
2010-12-01,92.098
2011-03-01,91.583
2011-06-01,90.028
2011-09-01,89.129
2011-12-01,88.04
2012-03-01,86.541
2012-06-01,85.611
2012-09-01,85.321
2012-12-01,85.062
2013-03-01,83.753
2013-06-01,83.487
2013-09-01,82.904
2013-12-01,82.242
2014-03-01,81.919
2014-06-01,81.126
2014-09-01,80.425
2014-12-01,80.258
2015-03-01,79.538
2015-06-01,79.286
2015-09-01,79.107
2015-12-01,79.235
2016-03-01,78.907
2016-06-01,78.777
2016-09-01,79.081
2016-12-01,78.86
2017-03-01,78.338
2017-06-01,78.529
2017-09-01,78.211
2017-12-01,78.047
2018-03-01,77.292
2018-06-01,76.654
2018-09-01,76.651
2018-12-01,76.712
2019-03-01,76.003
2019-06-01,75.96
2019-09-01,76.064
