date,salesamt
1992-01-01,25800
1992-02-01,27031
1992-03-01,30195
1992-04-01,30583
1992-05-01,31095
1992-06-01,32798
1992-07-01,32185
1992-08-01,30139
1992-09-01,30965
1992-10-01,31578
1992-11-01,27838
1992-12-01,28237
1993-01-01,27823
1993-02-01,28364
1993-03-01,33803
1993-04-01,35150
1993-05-01,35095
1993-06-01,36890
1993-07-01,36647
1993-08-01,35804
1993-09-01,34668
1993-10-01,34873
1993-11-01,33932
1993-12-01,34077
1994-01-01,32059
1994-02-01,34391
1994-03-01,42411
1994-04-01,40973
1994-05-01,40507
1994-06-01,42280
1994-07-01,39162
1994-08-01,41652
1994-09-01,40272
1994-10-01,39790
1994-11-01,37734
1994-12-01,36869
1995-01-01,35487
1995-02-01,36245
1995-03-01,44670
1995-04-01,41130
1995-05-01,45489
1995-06-01,47260
1995-07-01,43032
1995-08-01,46037
1995-09-01,42201
1995-10-01,41908
1995-11-01,40133
1995-12-01,38092
1996-01-01,39261
1996-02-01,43538
1996-03-01,48844
1996-04-01,46624
1996-05-01,50252
1996-06-01,47187
1996-07-01,47404
1996-08-01,47531
1996-09-01,44473
1996-10-01,46980
1996-11-01,41746
1996-12-01,40109
1997-01-01,42327
1997-02-01,43870
1997-03-01,50056
1997-04-01,48221
1997-05-01,49695
1997-06-01,49284
1997-07-01,50159
1997-08-01,49949
1997-09-01,47367
1997-10-01,47944
1997-11-01,41943
1997-12-01,43843
1998-01-01,43371
1998-02-01,44090
1998-03-01,51772
1998-04-01,51484
1998-05-01,53328
1998-06-01,55940
1998-07-01,50755
1998-08-01,49441
1998-09-01,48698
1998-10-01,51277
1998-11-01,45679
1998-12-01,47666
1999-01-01,46157
1999-02-01,49827
1999-03-01,58761
1999-04-01,55504
1999-05-01,58227
1999-06-01,59612
1999-07-01,58918
1999-08-01,60447
1999-09-01,56079
1999-10-01,53895
1999-11-01,51987
1999-12-01,52406
2000-01-01,51413
2000-02-01,58828
2000-03-01,64815
2000-04-01,56524
2000-05-01,62467
2000-06-01,62396
2000-07-01,57942
2000-08-01,62020
2000-09-01,56972
2000-10-01,55319
2000-11-01,50547
2000-12-01,48539
2001-01-01,51954
2001-02-01,54168
2001-03-01,62034
2001-04-01,57327
2001-05-01,63534
2001-06-01,62193
2001-07-01,58994
2001-08-01,63267
2001-09-01,52943
2001-10-01,70850
2001-11-01,57131
2001-12-01,53281
2002-01-01,52948
2002-02-01,54817
2002-03-01,60116
2002-04-01,60242
2002-05-01,61020
2002-06-01,60575
2002-07-01,65824
2002-08-01,69228
2002-09-01,56437
2002-10-01,57414
2002-11-01,52483
2002-12-01,55578
2003-01-01,54379
2003-02-01,53150
2003-03-01,61877
2003-04-01,61336
2003-05-01,65092
2003-06-01,63414
2003-07-01,66899
2003-08-01,66850
2003-09-01,60369
2003-10-01,58079
2003-11-01,53065
2003-12-01,57750
2004-01-01,52917
2004-02-01,56122
2004-03-01,66693
2004-04-01,61142
2004-05-01,65214
2004-06-01,62812
2004-07-01,66631
2004-08-01,65194
2004-09-01,63519
2004-10-01,58913
2004-11-01,56199
2004-12-01,62718
2005-01-01,53509
2005-02-01,57407
2005-03-01,68039
2005-04-01,64571
2005-05-01,65429
2005-06-01,71603
2005-07-01,75311
2005-08-01,68925
2005-09-01,58825
2005-10-01,53555
2005-11-01,55055
2005-12-01,60842
2006-01-01,56440
2006-02-01,57559
2006-03-01,69930
2006-04-01,63333
2006-05-01,67661
2006-06-01,66999
2006-07-01,68328
2006-08-01,70525
2006-09-01,61990
2006-10-01,59614
2006-11-01,57344
2006-12-01,61075
2007-01-01,57009
2007-02-01,59771
2007-03-01,70738
2007-04-01,64366
2007-05-01,70465
2007-06-01,65945
2007-07-01,66174
2007-08-01,71327
2007-09-01,62397
2007-10-01,62846
2007-11-01,57241
2007-12-01,59124
2008-01-01,56319
2008-02-01,58684
2008-03-01,64382
2008-04-01,60804
2008-05-01,62079
2008-06-01,56153
2008-07-01,56522
2008-08-01,57661
2008-09-01,49995
2008-10-01,44704
2008-11-01,38987
2008-12-01,43215
2009-01-01,41559
2009-02-01,41331
2009-03-01,46582
2009-04-01,45093
2009-05-01,46510
2009-06-01,48096
2009-07-01,51112
2009-08-01,55695
2009-09-01,42315
2009-10-01,45284
2009-11-01,41464
2009-12-01,46955
2010-01-01,42162
2010-02-01,43455
2010-03-01,56506
2010-04-01,53010
2010-05-01,54203
2010-06-01,53074
2010-07-01,55880
2010-08-01,55146
2010-09-01,51581
2010-10-01,51489
2010-11-01,49417
2010-12-01,55257
2011-01-01,49715
2011-02-01,53613
2011-03-01,63613
2011-04-01,58223
2011-05-01,57538
2011-06-01,57741
2011-07-01,57556
2011-08-01,59357
2011-09-01,56243
2011-10-01,55583
2011-11-01,54192
2011-12-01,61131
2012-01-01,52985
2012-02-01,60339
2012-03-01,68793
2012-04-01,61753
2012-05-01,67056
2012-06-01,63327
2012-07-01,63359
2012-08-01,68421
2012-09-01,60834
2012-10-01,61304
2012-11-01,59785
2012-12-01,64822
2013-01-01,59941
2013-02-01,63113
2013-03-01,71579
2013-04-01,68859
2013-05-01,72999
2013-06-01,69543
2013-07-01,73089
2013-08-01,75585
2013-09-01,64318
2013-10-01,67065
2013-11-01,64883
2013-12-01,68316
2014-01-01,60619
2014-02-01,64321
2014-03-01,77611
2014-04-01,74532
2014-05-01,79046
2014-06-01,73171
2014-07-01,77651
2014-08-01,79978
2014-09-01,71340
2014-10-01,72434
2014-11-01,68604
2014-12-01,76259
2015-01-01,68415
2015-02-01,68917
2015-03-01,82636
2015-04-01,79486
2015-05-01,82885
2015-06-01,79754
2015-07-01,83376
2015-08-01,84447
2015-09-01,78083
2015-10-01,77759
2015-11-01,73135
2015-12-01,81557
2016-01-01,69732
2016-02-01,77573
2016-03-01,85595
2016-04-01,82369
2016-05-01,83292
2016-06-01,82335
2016-07-01,84840
2016-08-01,89078
2016-09-01,81760
2016-10-01,79668
2016-11-01,77907
2016-12-01,88256
2017-01-01,73667
2017-02-01,76668
2017-03-01,89892
2017-04-01,81174
2017-05-01,88451
2017-06-01,85301
2017-07-01,86322
2017-08-01,88972
2017-09-01,85591
2017-10-01,83662
2017-11-01,82065
2017-12-01,87768
2018-01-01,76671
2018-02-01,77657
2018-03-01,94567
2018-04-01,84471
2018-05-01,92867
2018-06-01,88864
2018-07-01,88974
2018-08-01,93324
2018-09-01,83124
2018-10-01,85968
2018-11-01,83384
2018-12-01,90543
2019-01-01,76785
2019-02-01,78166
2019-03-01,95730
2019-04-01,88472
2019-05-01,95891
2019-06-01,89732
2019-07-01,94300
2019-08-01,100172
2019-09-01,87034
2019-10-01,90941
2019-11-01,89708
2019-12-01,93076
