DATE,MSPUS
1963-03-01,17800
1963-06-01,18000
1963-09-01,17900
1963-12-01,18500
1964-03-01,18500
1964-06-01,18900
1964-09-01,18900
1964-12-01,19400
1965-03-01,20200
1965-06-01,19800
1965-09-01,20200
1965-12-01,20300
1966-03-01,21000
1966-06-01,22100
1966-09-01,21500
1966-12-01,21400
1967-03-01,22300
1967-06-01,23300
1967-09-01,22500
1967-12-01,22900
1968-03-01,23900
1968-06-01,24900
1968-09-01,24800
1968-12-01,25600
1969-03-01,25700
1969-06-01,25900
1969-09-01,25900
1969-12-01,24900
1970-03-01,23900
1970-06-01,24400
1970-09-01,23000
1970-12-01,22600
1971-03-01,24300
1971-06-01,25800
1971-09-01,25300
1971-12-01,25500
1972-03-01,26200
1972-06-01,26800
1972-09-01,27900
1972-12-01,29200
1973-03-01,30200
1973-06-01,32700
1973-09-01,33500
1973-12-01,34000
1974-03-01,35200
1974-06-01,35600
1974-09-01,36200
1974-12-01,37200
1975-03-01,38100
1975-06-01,39000
1975-09-01,38800
1975-12-01,41200
1976-03-01,42800
1976-06-01,44200
1976-09-01,44400
1976-12-01,45500
1977-03-01,46300
1977-06-01,48900
1977-09-01,48800
1977-12-01,51600
1978-03-01,53000
1978-06-01,55300
1978-09-01,56100
1978-12-01,59000
1979-03-01,60600
1979-06-01,63100
1979-09-01,64700
1979-12-01,62600
1980-03-01,63700
1980-06-01,64000
1980-09-01,64900
1980-12-01,66400
1981-03-01,66800
1981-06-01,69400
1981-09-01,69200
1981-12-01,70400
1982-03-01,66400
1982-06-01,69600
1982-09-01,69300
1982-12-01,71600
1983-03-01,73300
1983-06-01,74900
1983-09-01,77400
1983-12-01,75900
1984-03-01,78200
1984-06-01,80700
1984-09-01,81000
1984-12-01,79900
1985-03-01,82800
1985-06-01,84300
1985-09-01,83200
1985-12-01,86800
1986-03-01,88000
1986-06-01,92100
1986-09-01,93000
1986-12-01,95000
1987-03-01,97900
1987-06-01,103400
1987-09-01,106000
1987-12-01,111500
1988-03-01,110000
1988-06-01,110000
1988-09-01,115000
1988-12-01,113900
1989-03-01,118000
1989-06-01,118900
1989-09-01,120000
1989-12-01,124800
1990-03-01,123900
1990-06-01,126800
1990-09-01,117000
1990-12-01,121500
1991-03-01,120000
1991-06-01,119900
1991-09-01,120000
1991-12-01,120000
1992-03-01,119500
1992-06-01,120000
1992-09-01,120000
1992-12-01,126000
1993-03-01,125000
1993-06-01,127000
1993-09-01,127000
1993-12-01,127000
1994-03-01,130000
1994-06-01,130000
1994-09-01,129700
1994-12-01,132000
1995-03-01,130000
1995-06-01,133900
1995-09-01,132000
1995-12-01,138000
1996-03-01,137000
1996-06-01,139900
1996-09-01,140000
1996-12-01,144100
1997-03-01,145000
1997-06-01,145800
1997-09-01,145000
1997-12-01,144200
1998-03-01,152200
1998-06-01,149500
1998-09-01,153000
1998-12-01,153000
1999-03-01,157400
1999-06-01,158700
1999-09-01,159100
1999-12-01,165300
2000-03-01,165300
2000-06-01,163200
2000-09-01,168800
2000-12-01,172900
2001-03-01,169800
2001-06-01,179000
2001-09-01,172500
2001-12-01,171100
2002-03-01,188700
2002-06-01,187200
2002-09-01,178100
2002-12-01,190100
2003-03-01,186000
2003-06-01,191800
2003-09-01,191900
2003-12-01,198800
2004-03-01,212700
2004-06-01,217600
2004-09-01,213500
2004-12-01,228800
2005-03-01,232500
2005-06-01,233700
2005-09-01,236400
2005-12-01,243600
2006-03-01,247700
2006-06-01,246300
2006-09-01,235600
2006-12-01,245400
2007-03-01,257400
2007-06-01,242200
2007-09-01,241800
2007-12-01,238400
2008-03-01,233900
2008-06-01,235300
2008-09-01,226500
2008-12-01,222500
2009-03-01,208400
2009-06-01,220900
2009-09-01,214300
2009-12-01,219000
2010-03-01,222900
2010-06-01,219500
2010-09-01,224100
2010-12-01,224300
2011-03-01,226900
2011-06-01,228100
2011-09-01,223500
2011-12-01,221100
2012-03-01,238400
2012-06-01,238700
2012-09-01,248800
2012-12-01,251700
2013-03-01,258400
2013-06-01,268100
2013-09-01,264800
2013-12-01,273600
2014-03-01,275200
2014-06-01,288000
2014-09-01,281000
2014-12-01,298900
2015-03-01,289200
2015-06-01,289100
2015-09-01,295800
2015-12-01,302500
2016-03-01,299800
2016-06-01,306000
2016-09-01,303800
2016-12-01,310900
2017-03-01,313100
2017-06-01,318200
2017-09-01,320500.0
2017-12-01,337900.0
2018-03-01,331800.0
2018-06-01,315600.0
2018-09-01,330900.0
2018-12-01,322800.0
2019-03-01,313000.0
2019-06-01,322500.0
2019-09-01,318400.0
2019-12-01,324500.0
