date,sloas
2006-03-01,480.96698
2006-06-01,487.12604
2006-09-01,510.54846
2006-12-01,521.38249
2007-03-01,544.98854
2007-06-01,549.27083
2007-09-01,577.38056
2007-12-01,589.48928
2008-03-01,619.31589
2008-06-01,626.6056
2008-09-01,660.58421
2008-12-01,675.95258
2009-03-01,707.22681
2009-06-01,712.31916
2009-09-01,746.52252
2009-12-01,771.69975
2010-03-01,800.06982
2010-06-01,811.14877
2010-09-01,845.80478
2010-12-01,855.48343
2011-03-01,896.84843
2011-06-01,905.15715
2011-09-01,940.33902
2011-12-01,959.82395
2012-03-01,994.27974
2012-06-01,1011.25992
2012-09-01,1041.03403
2012-12-01,1054.56511
2013-03-01,1092.01386
2013-06-01,1099.6068
2013-09-01,1134.18098
2013-12-01,1145.55075
2014-03-01,1182.06118
2014-06-01,1190.48873
2014-09-01,1226.39406
2014-12-01,1235.75147
2015-03-01,1271.84496
2015-06-01,1278.76492
2015-09-01,1311.76642
2015-12-01,1320.24814
2016-03-01,1358.13744
2016-06-01,1365.26984
2016-09-01,1398.57321
2016-12-01,1407.98453
2017-03-01,1443.34418
2017-06-01,1448.3551
2017-09-01,1480.57776
2017-12-01,1489.96914
2018-03-01,1524.44541
2018-06-01,1528.84691
2018-09-01,1558.71324
2018-12-01,1568.85018
2019-03-01,1599.73862
2019-06-01,1605.76459
2019-09-01,1636.50968
2019-12-01,1643.18653
