date,sloas
2006-01-01,480.96698
2006-04-01,487.12604
2006-07-01,510.54846
2006-10-01,521.38249
2007-01-01,544.98854
2007-04-01,549.27083
2007-07-01,577.38056
2007-10-01,589.48928
2008-01-01,619.31589
2008-04-01,626.6056
2008-07-01,660.58421
2008-10-01,675.95258
2009-01-01,707.22681
2009-04-01,712.31916
2009-07-01,746.52252
2009-10-01,771.69975
2010-01-01,800.06982
2010-04-01,811.14877
2010-07-01,845.80478
2010-10-01,855.48343
2011-01-01,896.84843
2011-04-01,905.15715
2011-07-01,940.33902
2011-10-01,959.82395
2012-01-01,994.27974
2012-04-01,1011.25992
2012-07-01,1041.03403
2012-10-01,1054.56511
2013-01-01,1092.01386
2013-04-01,1099.6068
2013-07-01,1134.18098
2013-10-01,1145.55075
2014-01-01,1182.06118
2014-04-01,1190.48873
2014-07-01,1226.39406
2014-10-01,1235.75147
2015-01-01,1271.84496
2015-04-01,1278.76492
2015-07-01,1311.76642
2015-10-01,1320.24814
2016-01-01,1358.13744
2016-04-01,1365.26984
2016-07-01,1398.57321
2016-10-01,1407.98453
2017-01-01,1443.34418
2017-04-01,1448.3551
2017-07-01,1480.57776
2017-10-01,1489.96914
2018-01-01,1524.44541
2018-04-01,1528.84691
2018-07-01,1558.71324
2018-10-01,1568.85018
2019-01-01,1599.73862
2019-04-01,1605.76459
2019-07-01,1636.50968
2019-10-01,1643.18653
