date,rate
1994-11-01,15.69
1994-12-01,
1995-01-01,
1995-02-01,16.10
1995-03-01,
1995-04-01,
1995-05-01,16.14
1995-06-01,
1995-07-01,
1995-08-01,15.92
1995-09-01,
1995-10-01,
1995-11-01,15.81
1995-12-01,
1996-01-01,
1996-02-01,15.80
1996-03-01,
1996-04-01,
1996-05-01,15.44
1996-06-01,
1996-07-01,
1996-08-01,15.66
1996-09-01,
1996-10-01,
1996-11-01,15.62
1996-12-01,
1997-01-01,
1997-02-01,15.88
1997-03-01,
1997-04-01,
1997-05-01,15.74
1997-06-01,
1997-07-01,
1997-08-01,15.80
1997-09-01,
1997-10-01,
1997-11-01,15.76
1997-12-01,
1998-01-01,
1998-02-01,15.68
1998-03-01,
1998-04-01,
1998-05-01,15.65
1998-06-01,
1998-07-01,
1998-08-01,15.82
1998-09-01,
1998-10-01,
1998-11-01,15.67
1998-12-01,
1999-01-01,
1999-02-01,15.39
1999-03-01,
1999-04-01,
1999-05-01,15.19
1999-06-01,
1999-07-01,
1999-08-01,15.07
1999-09-01,
1999-10-01,
1999-11-01,15.12
1999-12-01,
2000-01-01,
2000-02-01,15.55
2000-03-01,
2000-04-01,
2000-05-01,15.60
2000-06-01,
2000-07-01,
2000-08-01,15.98
2000-09-01,
2000-10-01,
2000-11-01,15.99
2000-12-01,
2001-01-01,
2001-02-01,15.63
2001-03-01,
2001-04-01,
2001-05-01,15.06
2001-06-01,
2001-07-01,
2001-08-01,14.59
2001-09-01,
2001-10-01,
2001-11-01,14.21
2001-12-01,
2002-01-01,
2002-02-01,13.62
2002-03-01,
2002-04-01,
2002-05-01,13.53
2002-06-01,
2002-07-01,
2002-08-01,13.36
2002-09-01,
2002-10-01,
2002-11-01,13.11
2002-12-01,
2003-01-01,
2003-02-01,12.26
2003-03-01,
2003-04-01,
2003-05-01,12.12
2003-06-01,
2003-07-01,
2003-08-01,12.47
2003-09-01,
2003-10-01,
2003-11-01,12.35
2003-12-01,
2004-01-01,
2004-02-01,12.67
2004-03-01,
2004-04-01,
2004-05-01,12.69
2004-06-01,
2004-07-01,
2004-08-01,13.02
2004-09-01,
2004-10-01,
2004-11-01,12.51
2004-12-01,
2005-01-01,
2005-02-01,12.21
2005-03-01,
2005-04-01,
2005-05-01,12.77
2005-06-01,
2005-07-01,
2005-08-01,12.48
2005-09-01,
2005-10-01,
2005-11-01,12.58
2005-12-01,
2006-01-01,
2006-02-01,13.30
2006-03-01,
2006-04-01,
2006-05-01,13.16
2006-06-01,
2006-07-01,
2006-08-01,13.06
2006-09-01,
2006-10-01,
2006-11-01,13.31
2006-12-01,
2007-01-01,
2007-02-01,13.41
2007-03-01,
2007-04-01,
2007-05-01,13.46
2007-06-01,
2007-07-01,
2007-08-01,13.59
2007-09-01,
2007-10-01,
2007-11-01,12.75
2007-12-01,
2008-01-01,
2008-02-01,12.47
2008-03-01,
2008-04-01,
2008-05-01,11.88
2008-06-01,
2008-07-01,
2008-08-01,11.94
2008-09-01,
2008-10-01,
2008-11-01,12.03
2008-12-01,
2009-01-01,
2009-02-01,12.97
2009-03-01,
2009-04-01,
2009-05-01,13.32
2009-06-01,
2009-07-01,
2009-08-01,13.71
2009-09-01,
2009-10-01,
2009-11-01,13.60
2009-12-01,
2010-01-01,
2010-02-01,14.26
2010-03-01,
2010-04-01,
2010-05-01,13.84
2010-06-01,
2010-07-01,
2010-08-01,13.59
2010-09-01,
2010-10-01,
2010-11-01,13.44
2010-12-01,
2011-01-01,
2011-02-01,13.44
2011-03-01,
2011-04-01,
2011-05-01,12.89
2011-06-01,
2011-07-01,
2011-08-01,12.28
2011-09-01,
2011-10-01,
2011-11-01,12.36
2011-12-01,
2012-01-01,
2012-02-01,12.34
2012-03-01,
2012-04-01,
2012-05-01,12.06
2012-06-01,
2012-07-01,
2012-08-01,11.95
2012-09-01,
2012-10-01,
2012-11-01,11.88
2012-12-01,
2013-01-01,
2013-02-01,11.94
2013-03-01,
2013-04-01,
2013-05-01,11.95
2013-06-01,
2013-07-01,
2013-08-01,11.88
2013-09-01,
2013-10-01,
2013-11-01,11.85
2013-12-01,
2014-01-01,
2014-02-01,11.83
2014-03-01,
2014-04-01,
2014-05-01,11.83
2014-06-01,
2014-07-01,
2014-08-01,11.82
2014-09-01,
2014-10-01,
2014-11-01,11.99
2014-12-01,
2015-01-01,
2015-02-01,11.98
2015-03-01,
2015-04-01,
2015-05-01,12.04
2015-06-01,
2015-07-01,
2015-08-01,12.10
2015-09-01,
2015-10-01,
2015-11-01,12.22
2015-12-01,
2016-01-01,
2016-02-01,12.31
2016-03-01,
2016-04-01,
2016-05-01,12.16
2016-06-01,
2016-07-01,
2016-08-01,12.51
2016-09-01,
2016-10-01,
2016-11-01,12.41
2016-12-01,
2017-01-01,
2017-02-01,12.54
2017-03-01,
2017-04-01,
2017-05-01,12.77
2017-06-01,
2017-07-01,
2017-08-01,13.08
2017-09-01,
2017-10-01,
2017-11-01,13.16
2017-12-01,
2018-01-01,
2018-02-01,13.63
2018-03-01,
2018-04-01,
2018-05-01,14.14
2018-06-01,
2018-07-01,
2018-08-01,14.38
2018-09-01,
2018-10-01,
2018-11-01,14.73
2018-12-01,
2019-01-01,
2019-02-01,15.09
2019-03-01,
2019-04-01,
2019-05-01,15.13
2019-06-01,
2019-07-01,
2019-08-01,15.1
2019-09-01,
2019-10-01,
2019-11-01,14.87
