year,period,estimate_value,standard_eror
2001,Qtr1,3.9,
2001,Qtr2,4.0,
2001,Qtr3,4.1,
2001,Qtr4,4.2,
2002,Qtr1,3.8,
2002,Qtr2,3.7,
2002,Qtr3,3.5,
2002,Qtr4,3.3,
2003,Qtr1,3.8,
2003,Qtr2,3.7,
2003,Qtr3,3.9,
2003,Qtr4,3.9,
2004,Qtr1,3.7,
2004,Qtr2,3.8,
2004,Qtr3,3.8,
2004,Qtr4,3.7,
2005,Qtr1,3.6,
2005,Qtr2,3.2,
2005,Qtr3,3.0,
2005,Qtr4,3.1,
2006,Qtr1,2.8,
2006,Qtr2,3.0,
2006,Qtr3,3.3,
2006,Qtr4,3.3,0.1
2007,Qtr1,3.5,0.2
2007,Qtr2,3.3,0.2
2007,Qtr3,3.3,0.1
2007,Qtr4,3.3,0.2
2008,Qtr1,3.3,0.1
2008,Qtr2,3.1,0.2
2008,Qtr3,2.9,0.1
2008,Qtr4,2.6,0.1
2009,Qtr1,2.1,0.2
2009,Qtr2,1.8,0.2
2009,Qtr3,1.5,0.1
2009,Qtr4,1.4,0.2
2010,Qtr1,1.7,0.1
2010,Qtr2,1.9,0.1
2010,Qtr3,1.9,0.1
2010,Qtr4,2.0,0.1
2011,Qtr1,2.0,0.1
2011,Qtr2,2.2,0.1
2011,Qtr3,2.0,0.1
2011,Qtr4,2.0,0.1
2012,Qtr1,1.9,0.2
2012,Qtr2,1.7,0.2
2012,Qtr3,1.9,0.1
2012,Qtr4,1.9,0.1
2013,Qtr1,1.9,0.1
2013,Qtr2,1.9,0.1
2013,Qtr3,1.9,0.1
2013,Qtr4,2.0,0.1
2014,Qtr1,1.8,0.1
2014,Qtr2,2.0,0.1
2014,Qtr3,2.2,0.1
2014,Qtr4,2.2,0.1
2015,Qtr1,2.6,0.2
2015,Qtr2,2.0,0.1
2015,Qtr3,2.0,0.1
2015,Qtr4,2.0,0.1
2016,Qtr1,1.9,0.2
2016,Qtr2,2.3,0.1
2016,Qtr3,2.3,0.1
2016,Qtr4,2.2,0.1
2017,Qtr1,2.4,0.1
2017,Qtr2,2.4,0.1
2017,Qtr3,2.5,0.1
2017,Qtr4,2.6,0.1
2018,Qtr1,2.7,0.1
2018,Qtr2,2.8,0.1
2018,Qtr3,2.8,0.1
2018,Qtr4,2.9,0.1
2019,Qtr1,2.8,0.1
2019,Qtr2,2.7,0.1
2019,Qtr3,2.8,0.1
2019,Qtr4,2.7,0.1
