date,debt
1999-03-01,4.54
1999-06-01,4.63
1999-09-01,4.82
1999-12-01,4.76
2000-03-01,5.06
2000-06-01,5.25
2000-09-01,5.34
2000-12-01,5.51
2001-03-01,5.76
2001-06-01,5.53
2001-09-01,5.89
2001-12-01,5.93
2002-03-01,6.26
2002-06-01,6.3
2002-09-01,6.69
2002-12-01,6.66
2003-03-01,7.2313
2003-06-01,7.3839
2003-09-01,7.5551
2003-12-01,8.0655
2004-03-01,8.2893
2004-06-01,8.46
2004-09-01,8.833
2004-12-01,9.0416
2005-03-01,9.2067
2005-06-01,9.4918
2005-09-01,9.7921
2005-12-01,10.0022
2006-03-01,10.3818
2006-06-01,10.7471
2006-09-01,11.1114
2006-12-01,11.3133
2007-03-01,11.4953
2007-06-01,11.8498
2007-09-01,12.1325004
2007-12-01,12.3716
2008-03-01,12.5365
2008-06-01,12.5991
2008-09-01,12.6754
2008-12-01,12.6699
2009-03-01,12.5296
2009-06-01,12.4072
2009-09-01,12.279
2009-12-01,12.1661
2010-03-01,12.1169
2010-06-01,11.943
2010-09-01,11.8444
2010-12-01,11.7132
2011-03-01,11.7544
2011-06-01,11.7295
2011-09-01,11.6612
2011-12-01,11.5368
2012-03-01,11.43625613
2012-06-01,11.384
2012-09-01,11.31
2012-12-01,11.341
2013-03-01,11.231
2013-06-01,11.153
2013-09-01,11.28
2013-12-01,11.521
2014-03-01,11.65
2014-06-01,11.632
2014-09-01,11.71
2014-12-01,11.827
2015-03-01,11.851
2015-06-01,11.853
2015-09-01,12.065
2015-12-01,12.116
2016-03-01,12.252
2016-06-01,12.287
2016-09-01,12.35
2016-12-01,12.576
2017-03-01,12.725
2017-06-01,12.839
2017-09-01,12.955
2017-12-01,13.148
2018-03-01,13.211
2018-06-01,13.293
2018-09-01,13.512
2018-12-01,13.544
2019-03-01,13.668
2019-06-01,13.86
2019-09-01,13.952
2019-12-01,14.145
