year,qtr,state_fips,low,high
1999,1,01,1.09,1.24
1999,1,02,1.33,1.41
1999,1,04,1.33,1.41
1999,1,05,.39,1.09
1999,1,06,1.62,1.75
1999,1,08,1.33,1.41
1999,1,09,.39,1.09
1999,1,10,.39,1.09
1999,1,11,.39,1.09
1999,1,12,1.41,1.51
1999,1,13,1.09,1.24
1999,1,15,1.89,2.13
1999,1,16,1.41,1.51
1999,1,17,.39,1.09
1999,1,18,.39,1.09
1999,1,19,.39,1.09
1999,1,20,.39,1.09
1999,1,21,.39,1.09
1999,1,22,.39,1.09
1999,1,23,1.09,1.24
1999,1,24,1.62,1.75
1999,1,25,.39,1.09
1999,1,26,.39,1.09
1999,1,27,.39,1.09
1999,1,28,.39,1.09
1999,1,29,.39,1.09
1999,1,30,1.33,1.41
1999,1,31,.39,1.09
1999,1,32,1.33,1.41
1999,1,33,1.09,1.24
1999,1,34,1.09,1.24
1999,1,35,1.41,1.51
1999,1,36,.39,1.09
1999,1,37,1.09,1.24
1999,1,38,.39,1.09
1999,1,39,.39,1.09
1999,1,40,.39,1.09
1999,1,41,1.33,1.41
1999,1,42,.39,1.09
1999,1,44,1.24,1.33
1999,1,45,1.24,1.33
1999,1,46,.39,1.09
1999,1,47,1.09,1.24
1999,1,48,.39,1.09
1999,1,49,1.33,1.41
1999,1,50,1.09,1.24
1999,1,51,1.33,1.41
1999,1,53,1.41,1.51
1999,1,54,.39,1.09
1999,1,55,.39,1.09
1999,1,56,.39,1.09
1999,2,01,1.09,1.24
1999,2,02,1.24,1.33
1999,2,04,1.33,1.41
1999,2,05,.39,1.09
1999,2,06,1.62,1.75
1999,2,08,1.33,1.41
1999,2,09,.39,1.09
1999,2,10,1.09,1.24
1999,2,11,.39,1.09
1999,2,12,1.41,1.51
1999,2,13,1.09,1.24
1999,2,15,1.75,1.89
1999,2,16,1.41,1.51
1999,2,17,.39,1.09
1999,2,18,.39,1.09
1999,2,19,.39,1.09
1999,2,20,.39,1.09
1999,2,21,.39,1.09
1999,2,22,.39,1.09
1999,2,23,.39,1.09
1999,2,24,1.62,1.75
1999,2,25,.39,1.09
1999,2,26,.39,1.09
1999,2,27,.39,1.09
1999,2,28,.39,1.09
1999,2,29,.39,1.09
1999,2,30,1.24,1.33
1999,2,31,.39,1.09
1999,2,32,1.41,1.51
1999,2,33,1.09,1.24
1999,2,34,1.09,1.24
1999,2,35,1.33,1.41
1999,2,36,.39,1.09
1999,2,37,1.09,1.24
1999,2,38,.39,1.09
1999,2,39,.39,1.09
1999,2,40,.39,1.09
1999,2,41,1.41,1.51
1999,2,42,.39,1.09
1999,2,44,1.09,1.24
1999,2,45,1.24,1.33
1999,2,46,.39,1.09
1999,2,47,1.09,1.24
1999,2,48,.39,1.09
1999,2,49,1.33,1.41
1999,2,50,.39,1.09
1999,2,51,1.41,1.51
1999,2,53,1.41,1.51
1999,2,54,.39,1.09
1999,2,55,.39,1.09
1999,2,56,.39,1.09
1999,3,01,1.09,1.24
1999,3,02,1.24,1.33
1999,3,04,1.33,1.41
1999,3,05,.39,1.09
1999,3,06,1.62,1.75
1999,3,08,1.33,1.41
1999,3,09,1.09,1.24
1999,3,10,1.09,1.24
1999,3,11,.39,1.09
1999,3,12,1.51,1.62
1999,3,13,1.24,1.33
1999,3,15,1.75,1.89
1999,3,16,1.41,1.51
1999,3,17,.39,1.09
1999,3,18,.39,1.09
1999,3,19,.39,1.09
1999,3,20,.39,1.09
1999,3,21,.39,1.09
1999,3,22,.39,1.09
1999,3,23,1.09,1.24
1999,3,24,1.62,1.75
1999,3,25,.39,1.09
1999,3,26,.39,1.09
1999,3,27,.39,1.09
1999,3,28,1.09,1.24
1999,3,29,.39,1.09
1999,3,30,1.33,1.41
1999,3,31,.39,1.09
1999,3,32,1.41,1.51
1999,3,33,1.09,1.24
1999,3,34,1.09,1.24
1999,3,35,1.41,1.51
1999,3,36,.39,1.09
1999,3,37,1.09,1.24
1999,3,38,.39,1.09
1999,3,39,.39,1.09
1999,3,40,.39,1.09
1999,3,41,1.41,1.51
1999,3,42,.39,1.09
1999,3,44,1.24,1.33
1999,3,45,1.24,1.33
1999,3,46,.39,1.09
1999,3,47,1.09,1.24
1999,3,48,.39,1.09
1999,3,49,1.33,1.41
1999,3,50,1.09,1.24
1999,3,51,1.41,1.51
1999,3,53,1.41,1.51
1999,3,54,.39,1.09
1999,3,55,.39,1.09
1999,3,56,.39,1.09
1999,4,01,.39,1.09
1999,4,02,1.24,1.33
1999,4,04,1.09,1.24
1999,4,05,.39,1.09
1999,4,06,1.33,1.41
1999,4,08,1.09,1.24
1999,4,09,.39,1.09
1999,4,10,.39,1.09
1999,4,11,.39,1.09
1999,4,12,1.24,1.33
1999,4,13,1.09,1.24
1999,4,15,1.62,1.75
1999,4,16,1.24,1.33
1999,4,17,.39,1.09
1999,4,18,.39,1.09
1999,4,19,.39,1.09
1999,4,20,.39,1.09
1999,4,21,.39,1.09
1999,4,22,.39,1.09
1999,4,23,.39,1.09
1999,4,24,1.51,1.62
1999,4,25,.39,1.09
1999,4,26,.39,1.09
1999,4,27,.39,1.09
1999,4,28,.39,1.09
1999,4,29,.39,1.09
1999,4,30,1.24,1.33
1999,4,31,.39,1.09
1999,4,32,1.24,1.33
1999,4,33,.39,1.09
1999,4,34,.39,1.09
1999,4,35,1.33,1.41
1999,4,36,.39,1.09
1999,4,37,1.09,1.24
1999,4,38,.39,1.09
1999,4,39,.39,1.09
1999,4,40,.39,1.09
1999,4,41,1.24,1.33
1999,4,42,.39,1.09
1999,4,44,.39,1.09
1999,4,45,1.09,1.24
1999,4,46,.39,1.09
1999,4,47,.39,1.09
1999,4,48,.39,1.09
1999,4,49,1.24,1.33
1999,4,50,.39,1.09
1999,4,51,1.24,1.33
1999,4,53,1.24,1.33
1999,4,54,.39,1.09
1999,4,55,.39,1.09
1999,4,56,.39,1.09
2000,1,01,1.09,1.24
2000,1,02,1.33,1.41
2000,1,04,1.33,1.41
2000,1,05,.39,1.09
2000,1,06,1.41,1.51
2000,1,08,1.33,1.41
2000,1,09,.39,1.09
2000,1,10,.39,1.09
2000,1,11,.39,1.09
2000,1,12,1.41,1.51
2000,1,13,1.24,1.33
2000,1,15,1.75,1.89
2000,1,16,1.51,1.62
2000,1,17,.39,1.09
2000,1,18,.39,1.09
2000,1,19,.39,1.09
2000,1,20,.39,1.09
2000,1,21,.39,1.09
2000,1,22,.39,1.09
2000,1,23,1.09,1.24
2000,1,24,1.62,1.75
2000,1,25,.39,1.09
2000,1,26,.39,1.09
2000,1,27,.39,1.09
2000,1,28,1.09,1.24
2000,1,29,.39,1.09
2000,1,30,1.41,1.51
2000,1,31,.39,1.09
2000,1,32,1.41,1.51
2000,1,33,1.09,1.24
2000,1,34,.39,1.09
2000,1,35,1.41,1.51
2000,1,36,.39,1.09
2000,1,37,1.09,1.24
2000,1,38,.39,1.09
2000,1,39,.39,1.09
2000,1,40,.39,1.09
2000,1,41,1.41,1.51
2000,1,42,.39,1.09
2000,1,44,1.09,1.24
2000,1,45,1.33,1.41
2000,1,46,1.09,1.24
2000,1,47,1.09,1.24
2000,1,48,.39,1.09
2000,1,49,1.41,1.51
2000,1,50,1.09,1.24
2000,1,51,1.33,1.41
2000,1,53,1.41,1.51
2000,1,54,.39,1.09
2000,1,55,.39,1.09
2000,1,56,1.09,1.24
2000,2,01,1.09,1.24
2000,2,02,1.24,1.33
2000,2,04,1.41,1.51
2000,2,05,.39,1.09
2000,2,06,1.51,1.62
2000,2,08,1.33,1.41
2000,2,09,1.09,1.24
2000,2,10,1.09,1.24
2000,2,11,.39,1.09
2000,2,12,1.51,1.62
2000,2,13,1.24,1.33
2000,2,15,1.75,1.89
2000,2,16,1.41,1.51
2000,2,17,.39,1.09
2000,2,18,1.09,1.24
2000,2,19,.39,1.09
2000,2,20,.39,1.09
2000,2,21,.39,1.09
2000,2,22,1.09,1.24
2000,2,23,1.24,1.33
2000,2,24,1.62,1.75
2000,2,25,.39,1.09
2000,2,26,1.09,1.24
2000,2,27,.39,1.09
2000,2,28,1.09,1.24
2000,2,29,.39,1.09
2000,2,30,1.33,1.41
2000,2,31,.39,1.09
2000,2,32,1.41,1.51
2000,2,33,1.09,1.24
2000,2,34,1.09,1.24
2000,2,35,1.41,1.51
2000,2,36,.39,1.09
2000,2,37,1.24,1.33
2000,2,38,.39,1.09
2000,2,39,1.09,1.24
2000,2,40,.39,1.09
2000,2,41,1.41,1.51
2000,2,42,.39,1.09
2000,2,44,1.24,1.33
2000,2,45,1.33,1.41
2000,2,46,.39,1.09
2000,2,47,1.09,1.24
2000,2,48,.39,1.09
2000,2,49,1.41,1.51
2000,2,50,1.09,1.24
2000,2,51,1.41,1.51
2000,2,53,1.51,1.62
2000,2,54,.39,1.09
2000,2,55,.39,1.09
2000,2,56,1.09,1.24
2000,3,01,1.09,1.24
2000,3,02,1.24,1.33
2000,3,04,1.41,1.51
2000,3,05,.39,1.09
2000,3,06,1.51,1.62
2000,3,08,1.33,1.41
2000,3,09,1.09,1.24
2000,3,10,1.09,1.24
2000,3,11,.39,1.09
2000,3,12,1.51,1.62
2000,3,13,1.33,1.41
2000,3,15,1.75,1.89
2000,3,16,1.41,1.51
2000,3,17,1.09,1.24
2000,3,18,1.09,1.24
2000,3,19,.39,1.09
2000,3,20,.39,1.09
2000,3,21,1.09,1.24
2000,3,22,1.09,1.24
2000,3,23,1.09,1.24
2000,3,24,1.62,1.75
