year,period,estimate_value,relative_standard_error
2004,Qtr1,24.95,
2004,Qtr2,24.96,
2004,Qtr3,25.36,
2004,Qtr4,25.57,
2005,Qtr1,25.87,
2005,Qtr2,25.86,
2005,Qtr3,26.05,
2005,Qtr4,26.46,
2006,Qtr1,26.86,
2006,Qtr2,26.86,
2006,Qtr3,27.31,
2006,Qtr4,27.54,
2007,Qtr1,27.82,
2007,Qtr2,27.75,
2007,Qtr3,28.03,
2007,Qtr4,28.11,
2008,Qtr1,28.46,
2008,Qtr2,28.48,
2008,Qtr3,28.87,
2008,Qtr4,29.18,
2009,Qtr1,29.39,
2009,Qtr2,29.31,
2009,Qtr3,29.40,
2009,Qtr4,29.37,
2010,Qtr1,29.71,
2010,Qtr2,29.52,
2010,Qtr3,29.75,
2010,Qtr4,29.72,
2011,Qtr1,30.07,
2011,Qtr2,29.98,
2011,Qtr3,30.11,
2011,Qtr4,30.45,
2012,Qtr1,30.69,
2012,Qtr2,30.61,
2012,Qtr3,30.78,
2012,Qtr4,30.82,
2013,Qtr1,31.09,
2013,Qtr2,31.00,
2013,Qtr3,31.16,
2013,Qtr4,31.57,
2014,Qtr1,31.93,
2014,Qtr2,31.96,
2014,Qtr3,32.20,
2014,Qtr4,33.13,
2015,Qtr1,33.49,
2015,Qtr2,33.19,
2015,Qtr3,33.37,
2015,Qtr4,33.58,
2016,Qtr1,33.94,
2016,Qtr2,34.05,
2016,Qtr3,34.15,
2016,Qtr4,34.90,
2017,Qtr1,35.28,
2017,Qtr2,35.28,
2017,Qtr3,35.64,
2017,Qtr4,35.87,
2018,Qtr1,36.32,
2018,Qtr2,36.22,
2018,Qtr3,36.63,1.4
2018,Qtr4,36.32,1.3
2019,Qtr1,36.77,1.3
2019,Qtr2,36.61,1.3
2019,Qtr3,37.03,1.3
