DATE,SLOAS
1/1/2006,480.96698
4/1/2006,487.12604
7/1/2006,510.54846
10/1/2006,521.38249
1/1/2007,544.98854
4/1/2007,549.27083
7/1/2007,577.38056
10/1/2007,589.48928
1/1/2008,619.31589
4/1/2008,626.6056
7/1/2008,660.58421
10/1/2008,675.95258
1/1/2009,707.22681
4/1/2009,712.31916
7/1/2009,746.52252
10/1/2009,771.69975
1/1/2010,800.06982
4/1/2010,811.14877
7/1/2010,845.80478
10/1/2010,855.48343
1/1/2011,896.84843
4/1/2011,905.15715
7/1/2011,940.33902
10/1/2011,959.82395
1/1/2012,994.27974
4/1/2012,1011.25992
7/1/2012,1041.03403
10/1/2012,1054.56511
1/1/2013,1092.01386
4/1/2013,1099.6068
7/1/2013,1134.18098
10/1/2013,1145.55075
1/1/2014,1182.06118
4/1/2014,1190.48873
7/1/2014,1226.39406
10/1/2014,1235.75147
1/1/2015,1271.84496
4/1/2015,1278.76492
7/1/2015,1311.76642
10/1/2015,1320.24814
1/1/2016,1358.13744
4/1/2016,1365.26984
7/1/2016,1398.57321
10/1/2016,1407.98453
1/1/2017,1443.34418
4/1/2017,1448.3551
7/1/2017,1480.57776
10/1/2017,1489.96914
1/1/2018,1524.44541
4/1/2018,1528.84691
7/1/2018,1558.71324
10/1/2018,1568.85018
1/1/2019,1599.73862
4/1/2019,1605.76459
7/1/2019,1636.50968
10/1/2019,1643.18653
